split,stage,family,segments,total_rows
held_out,launch,launch,18,13565
held_out,static,static_hold,1,15503
held_out,yaw_launch,launch,110,171183
train,SEC_10_STATIC,static_hold,4,59874
train,SEC_20_LAUNCH,launch,162,111872
train,SEC_30_STRAIGHT,straight,12,397512
train,SEC_40_YAW,in_place_turn,2,117724
train,SEC_50_SMOOTH,smooth_turn,1,21234
train,launch,launch,24,17896
train,mixed_launch,launch,30,35753
train,smooth,straight,1,66425
train,static,static_hold,1,15501
train,straight,straight,1,11488
train,yaw_launch,launch,108,105955
validation,SEC_10_STATIC,static_hold,1,15001
validation,SEC_20_LAUNCH,launch,48,34859
validation,SEC_30_STRAIGHT,straight,6,198756
validation,SEC_40_YAW,in_place_turn,1,84916
validation,launch,launch,12,8899
validation,mixed_launch,launch,10,11944
validation,static,static_hold,1,30523
validation,yaw_launch,launch,34,33226
